"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610040F04Rik",492.820812792576,0.749099231389,0.172612601325196,4.33977140508834,1.4263101000102e-05,0.000105701583017874
"1110038B12Rik",3128.46676555277,0.612598573072279,0.079395619510285,7.71577294630118,1.20251219928903e-14,3.88619028012845e-13
"1700019D03Rik",2173.26356003183,0.656584011559396,0.0853235890910145,7.69522260554487,1.41248047332322e-14,4.51559142087022e-13
"1700023B13Rik",302.324243526794,1.03716203817853,0.173394448612333,5.98151813093722,2.21067445247172e-09,3.41799219660434e-08
"1700029J07Rik",61.5413113043142,1.06383739973738,0.365899809554795,2.90745546173361,0.00364382228510602,0.0141874886798769
"1700029M20Rik",62.9055414448826,0.998231226565284,0.358736429773353,2.78263132405025,0.00539200387780392,0.019869806806307
"1700066B19Rik",37.75877621072,1.1415928811216,0.460359893173646,2.47978353034111,0.0131462165879412,0.0420986871162611
"1700088E04Rik",460.087153392872,0.711149284739785,0.137457081736564,5.17360965150345,2.29614268955031e-07,2.45189337558353e-06
"1700097N02Rik",218.91843917483,2.08418146276517,0.210403970208398,9.90561851423648,3.93527435170862e-23,2.78146262001718e-21
"1810010H24Rik",168.025166856115,0.600307611873351,0.222519682200315,2.69777309556351,0.00698050023149183,0.0248041714792066
"2410006H16Rik",8836.73820160793,0.990753296220389,0.0577886370656372,17.1444309215162,6.91727488755824e-66,5.32373970975778e-63
"2410021H03Rik",78.3627132206497,1.16713895570654,0.334290541485403,3.49139090361461,0.000480512658852242,0.00242961482949631
"2610528J11Rik",46.9383479046232,2.1291373924724,0.439071654988629,4.84917978257455,1.23973023282823e-06,1.14710615869389e-05
"2810030D12Rik",39.8963423438348,1.75144762443943,0.467591976247645,3.74567510438167,0.000179909306084874,0.00102593726137313
"2810408A11Rik",569.940878135868,0.62157270637425,0.142772711790135,4.35358198762741,1.33930973553226e-05,9.97879394204389e-05
"2810468N07Rik",93.1911724021218,0.722062703564413,0.291532937434576,2.4767791588779,0.0132573904200205,0.0423893788164372
"2900041M22Rik",177.44409743003,0.897522343508604,0.21639640684154,4.14758431809744,3.36001741101098e-05,0.000229977476287247
"4930442L01Rik",26.465581842595,2.35877714972409,0.596497836878144,3.95437670330723,7.67344297832644e-05,0.000477836814772621
"5730405O15Rik",121.973407430766,0.78442925239609,0.271071570398798,2.89380863969631,0.00380600036397402,0.0147333620647131
"6330537M06Rik",517.340854732114,0.877050045729942,0.135627423467569,6.46661289661426,1.00223956028847e-10,1.91420386606566e-09
"6530437J22Rik",182.694177460673,0.638870122960746,0.22117601298464,2.88851451086204,0.00387066169340034,0.0149280530788528
"9430069I07Rik",29.4162899801287,2.0504504655624,0.553947390387216,3.7015256342829,0.000214307000090674,0.00119327423951881
"9530056K15Rik",18.9258164928158,1.7544183739081,0.672128164249987,2.61024380054928,0.00904777155101674,0.0308875789108145
"A2m",13549.9669439673,0.642805107051299,0.162595654036341,3.95339660743718,7.70495660265605e-05,0.000479368258093391
"A930024E05Rik",72.5495524198639,0.831715390906338,0.338889180782213,2.45424002320345,0.014118271015384,0.0447290245006373
"AL831766.1",65.6480456646777,1.33962548191809,0.396883415660745,3.37536271120787,0.000737184626109803,0.00352802775922656
"AW551984",196.349649081445,0.831954698277322,0.207052684276089,4.01808216679757,5.86737389298392e-05,0.000377006893927662
"Abca1",1308.898711809,0.843684110865911,0.100427016206287,8.40096761545619,4.42814519372346e-17,1.84772805473039e-15
"Abca7",911.809709959797,0.628586961148973,0.124009703664019,5.06885302179263,4.00220122478084e-07,4.09078905316999e-06
"Abcb6",853.704430436388,0.597587512764292,0.105393092047751,5.67008236643764,1.42728884842953e-08,1.91225417603905e-07
"Abcc1",6778.23736356297,0.676266407465516,0.0647931434266843,10.4373143777279,1.67481897286911e-25,1.45011409400917e-23
"Abcc4",7324.27589402179,0.622910032106344,0.0661355498496123,9.41868682611392,4.56764604380002e-21,2.77531242076504e-19
"Abcg1",2306.83705110126,1.90493524300682,0.18853598693448,10.1038283140546,5.31268144535861e-24,3.97113382858101e-22
"Abhd14b",545.907984396488,0.747069772558501,0.131987287902275,5.6601645842715,1.51227889508006e-08,2.01268368759007e-07
"Ablim1",881.997462503786,0.93392970223715,0.113172784471878,8.25224639117387,1.55444520428608e-16,6.00397236897115e-15
"Ablim3",232.19590599525,0.749204789762918,0.192781185368796,3.88629620846903,0.000101785298477643,0.000616467065685053
"Acap1",882.60590751055,0.707411838360249,0.110165150477524,6.42137586427186,1.35048116919877e-10,2.51010721788465e-09
"Acer1",57.2363917520064,1.1572604857753,0.375650967735065,3.08068016635986,0.00206528363665236,0.00867878543369787
"Acot1",2299.22974346597,0.912476070542277,0.0915010362988527,9.97230312848072,2.01501135505718e-23,1.45388666521139e-21
"Acrbp",483.151387962171,0.799706308550055,0.138096044115044,5.79094291711819,6.99923639676103e-09,9.93470849212392e-08
"Acss1",1608.16666389885,2.04887300136521,0.0960544549138199,21.3303277104999,5.93903752739384e-101,1.76304571170348e-97
"Actn3",1068.46071263429,1.67272544151171,0.104105219858915,16.0676423696969,4.30137312502951e-58,1.94309855517637e-55
"Adam19",9175.32438212291,1.0530348025095,0.0629938740066341,16.7164636103917,9.94480683885141e-63,6.26221473064643e-60
"Adamts14",1252.90475000273,0.603570471007248,0.110073663903302,5.48333224864286,4.17388058390154e-08,5.10495812439518e-07
"Adamts15",319.750767232241,0.779309089193831,0.16558852624998,4.70629884112471,2.5225465671338e-06,2.19140960138128e-05
"Adcy6",470.625954951145,0.67447872747251,0.138397342098697,4.87349480303971,1.09641153450511e-06,1.02305485797109e-05
"Adgrg1",828.60977650748,1.75779600246802,0.121903886452698,14.4195238857303,3.90023722943206e-47,1.22798378223634e-44
"Adgrg5",112.794145119214,1.20014456781511,0.274165761814475,4.37744144225871,1.20080608547642e-05,9.05725969372051e-05
"Adhfe1",147.396885732623,1.27491778904346,0.254208444316908,5.01524562832414,5.29657563201663e-07,5.27626278203765e-06
