"Row.names","log2FoldChange"
"Tm4sf5",1.29560201348866
"Gm26633",1.29358611782193
"Adssl1",1.29238968323061
"Gm26666",1.29171553527301
"Gm18227",1.28956462580385
"Gm43909",1.28784988180462
"Gm12802",1.2875365797056
"Gm44700",1.28751668773467
"Sspn",1.28717240569263
"Tmem176b",1.2867848505109
"Slfn5",1.2865058085072
"Apoe",1.28427245882032
"Gm40457",1.28288048006093
"Crb3",1.28214863941975
"Thy1",1.28206522603311
"Gm43568",1.27956454449865
"Qrfp",1.27926411106789
"Fhit",1.27744677544063
"Gm31499",1.27696390338936
"Atp12a",1.27493158939156
"Adhfe1",1.27491778904346
"Klk13",1.27279887513634
"Plaur",1.27090522215785
"Cass4",1.2689959989347
"Lima1",1.26809226017522
"Gm16185",1.26712969993673
"Gm44951",1.2668937719535
"Gm14235",1.26675946105818
"Gm7932",1.2663874728422
"Lrrc38",1.26603278331853
"Kcnip2",1.26597213452747
"Selplg",1.26592044276395
"Fam166b",1.26271850620841
"Rpl5-ps2",1.26219796648476
"Slc36a3",1.26053192962428
"Gsg1l",1.25978813709536
"Gm10522",1.25558747589701
"Meltf",1.25556031748392
"Sapcd1",1.25482131894616
"Rtp3",1.25434355072664
"Ndrg2",1.25388402969168
"Gm15441",1.2497801097653
"Cd300lf",1.24678565876291
"Gm47385",1.24525289792904
"Cadm2",1.24430606150807
"Hrc",1.24287959140292
"Slc16a11",1.24240308527152
"Mcoln3",1.24055546407765
"Nrn1l",1.23982030477176
"Best2",1.23873110698241
"Gm12816",1.2360967510284
"T",1.23465112622695
"Gm20611",1.23330161601379
"1520401A03Rik",1.23271359302332
"Gm41505",1.23007476922141
"Mir7118",1.22977851342995
"Frem1",1.22972510834461
"Rnasel",1.22956120757795
"Zfp872",1.22836176906275
"Arhgap45",1.22784440342652
"Gm43804",1.22339122644735
"A930016O22Rik",1.22264463082823
"Lrrc36",1.22136551664287
"Car9",1.2202589041976
"Gm49887",1.21895238466811
"T2",1.21836583425073
"Atcay",1.21702089379923
"Gm44354",1.2161956669082
"Oaf",1.21606295799424
"Patl2",1.21472691727911
"Cwh43",1.21303975974142
"Txnip",1.21241320695015
"Gngt2",1.21235833523183
"Pdgfb",1.2099631344203
"Npas1",1.20971969099492
"Gm9895",1.20721432154962
"Muc3a",1.20375847499085
"Adgrg5",1.20014456781511
"Gm5469",1.19998696934659
"Fam114a1",1.19859714577891
"Trp53i11",1.19795249178406
"Ncan",1.19594400389416
"G0s2",1.19591545860883
"Rps12-ps9",1.19578559039588
"Pou2f3",1.19342342492467
"Gm13031",1.19303284387376
"Ebf1",1.19284144487564
"Ripply1",1.19244284900587
"Gm8225",1.1908877026293
"Naglu",1.18903196365072
"Lef1os1",1.1877870637104
"Gm26793",1.18656584200698
"Slc30a3",1.18633364729309
"Vstm2l",1.1841057680383
"Krt78",1.18410195247872
"Gm8174",1.18354960048092
"Artn",1.18319972234584
"Lad1",1.18116676128808
"Slc38a5",1.180601075888
"Rgs17",1.17880045232439
"Ldc1",1.17799573612569
"Fabp3-ps1",1.17794520093916
"Rapgef3",1.17409375564489
"Rpl31-ps15",1.17203512849429
"Ntrk3",1.17016498179369
"Cldn4",1.16907934642095
"Gfy",1.16778120946923
"Tbx6",1.16762944697504
"2410021H03Rik",1.16713895570654
"Gm47297",1.165616834682
"Gm14036",1.16379935162011
"Gm36584",1.16180153450371
"4933408B17Rik",1.16171244505467
"Fstl5",1.16126446787251
"Rpl30-ps1",1.15835597666006
"Zfr2",1.15794419640465
"Zfp608",1.15769218114824
"Acer1",1.1572604857753
"Rbp1",1.15704115937847
"Col26a1",1.15701650254352
"Vsx1",1.15475403952569
"Gprc5a",1.15469871392185
"Tjp3",1.1545419351511
"Gm36839",1.1535472247232
"Pga5",1.15340764387663
"Gm45669",1.15146493546147
"Trib2",1.15105883989966
"Phldb3",1.15092720372757
"Epha8",1.1486518226913
"5033404E19Rik",1.14830440193423
"Calca",1.14816449886269
"1700061E17Rik",1.14571428003188
"Tnfrsf26",1.14464018432674
"Tie1",1.14376133672291
"Kcnh3",1.14358219092997
"A630014C17Rik",1.14159574407055
"1700066B19Rik",1.1415928811216
