"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2310011J03Rik",500.543600172378,-0.697952707313778,0.133537541588362,-5.22664038151353,1.72617771105177e-07,1.88293820659611e-06
"2310033P09Rik",713.070843862348,-0.606130547604109,0.113532127128165,-5.33884604240575,9.35400323181976e-08,1.0780709215597e-06
"2410003I16Rik",141.091771033385,-0.885722401064516,0.258137296242629,-3.43120662514418,0.000600902707901466,0.00295404737880115
"2410137M14Rik",86.6150649341645,-1.14456222471796,0.322048086261142,-3.55401032810317,0.000379404313613984,0.00197941793545031
"2410141K09Rik",1295.10950250272,-0.697846969031576,0.0997400362087622,-6.99665846893155,2.62139245290085e-12,6.18533146843688e-11
"2610008E11Rik",118.142337999332,-0.797189269289072,0.282946197352448,-2.81745885524683,0.0048405316202869,0.0180618148805103
"2610035F20Rik",72.9910567901738,-2.46826810390978,0.370561093162937,-6.66089384301464,2.72167183729109e-11,5.51231391607299e-10
"2810429I04Rik",135.224462788867,-1.86159458044084,0.274271375443142,-6.78741840060068,1.14157786084938e-11,2.44556576788146e-10
"3222401L13Rik",71.885297661974,-1.40086281524646,0.349853847495867,-4.00413722836936,6.22442269411237e-05,0.000396847214423349
"3830403N18Rik",46.7958064054791,-2.38500976506037,0.464897782396712,-5.13018098895805,2.8946372790521e-07,3.04868538564129e-06
"3830417A13Rik",34.3219156000206,-3.45930908851579,0.611357857888729,-5.65840292044698,1.52788099984462e-08,2.03001068905187e-07
"4930417O22Rik",32.1186065981134,-1.76333763792106,0.530453942454058,-3.32420498142264,0.000886709952580347,0.00414996234563505
"4930434O05Rik",12.0018510562937,-2.74192299212109,0.928436043636086,-2.95327072975619,0.00314426074834153,0.0124833279232971
"4930486L24Rik",27.0362375652244,-1.98165481543276,0.574756614897897,-3.44781558675021,0.000565139756288306,0.00279543064405403
"4930502E18Rik",249.373984595546,-1.44110393215304,0.188251650234022,-7.65519946497974,1.93012423998193e-14,6.00418887826715e-13
"4930519F16Rik",22.555740852106,-2.14250310183921,0.63955820260619,-3.34997361164089,0.000808192594155636,0.003829929784847
"4930524B15Rik",145.065484878634,-1.31373409967513,0.245245262983402,-5.35681743122613,8.47006286204885e-08,9.82186976971959e-07
