"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610040F04Rik",492.820812792576,0.749099231389,0.172612601325196,4.33977140508834,1.4263101000102e-05,0.000105701583017874
"1110002J07Rik",647.535568142373,-0.976241211180466,0.126522880859481,-7.71592619887231,1.2010679859573e-14,3.88619028012845e-13
"1110038B12Rik",3128.46676555277,0.612598573072279,0.079395619510285,7.71577294630118,1.20251219928903e-14,3.88619028012845e-13
"1110046J04Rik",166.06612985995,-0.617328768641337,0.222174240888344,-2.77857939864226,0.00545971683961932,0.0200766087289488
"1190028D05Rik",54.6251217940829,-1.67818791174936,0.404813112240647,-4.14558684243344,3.38944507054848e-05,0.000231838935371947
"1700003E16Rik",24.2254725031976,-1.61337092593189,0.605004467462952,-2.66670911158302,0.00765979378657898,0.0267918725610354
"1700012B07Rik",18.9898115251747,-1.61511257396494,0.668302973084326,-2.41673707736318,0.0156603243480467,0.0486132709889414
"1700013H16Rik",764.077730283945,-4.06180414044393,0.156157587644972,-26.0109303793712,3.72530388937438e-149,7.74118148211996e-145
"1700016K19Rik",94.5220095212044,-0.736969804244633,0.300563419520249,-2.45196107171313,0.0142080031839527,0.0449516300491074
"1700018B24Rik",464.250834546272,-0.887029563353944,0.146994669146047,-6.0344335512782,1.59521253764828e-09,2.51669830059298e-08
"1700019A02Rik",84.2139852531846,-1.30903090354433,0.316717329977095,-4.13312054518456,3.57870907058048e-05,0.000242945359316114
"1700019D03Rik",2173.26356003183,0.656584011559396,0.0853235890910145,7.69522260554487,1.41248047332322e-14,4.51559142087022e-13
"1700019E08Rik",31.6182275776107,-2.34214420287772,0.561427639408777,-4.17176504766342,3.02249208868958e-05,0.000209497617087957
"1700020N01Rik",57.5526957827296,-1.52722994372622,0.386175235853874,-3.95475888128702,7.66118763384197e-05,0.000477216663762698
"1700023B13Rik",302.324243526794,1.03716203817853,0.173394448612333,5.98151813093722,2.21067445247172e-09,3.41799219660434e-08
"1700025F24Rik",11.1800595446164,-2.61449497489001,0.961408398762131,-2.71944262007314,0.00653920394279947,0.0234769623240105
"1700029J07Rik",61.5413113043142,1.06383739973738,0.365899809554795,2.90745546173361,0.00364382228510602,0.0141874886798769
"1700029M20Rik",62.9055414448826,0.998231226565284,0.358736429773353,2.78263132405025,0.00539200387780392,0.019869806806307
"1700029P11Rik",308.456780440409,-1.06606628221734,0.17085163840273,-6.23971939738978,4.38356526438223e-10,7.56565499949026e-09
"1700052K11Rik",79.2317106886857,-1.51712791133453,0.332300612687511,-4.56552848056652,4.98237543463507e-06,4.07613234376837e-05
"1700066B19Rik",37.75877621072,1.1415928811216,0.460359893173646,2.47978353034111,0.0131462165879412,0.0420986871162611
"1700080O16Rik",33.1851075079111,-3.71816134927191,0.651029778033254,-5.71120012436972,1.12182231732636e-08,1.53364919434485e-07
"1700088E04Rik",460.087153392872,0.711149284739785,0.137457081736564,5.17360965150345,2.29614268955031e-07,2.45189337558353e-06
"1700097N02Rik",218.91843917483,2.08418146276517,0.210403970208398,9.90561851423648,3.93527435170862e-23,2.78146262001718e-21
"1810010H24Rik",168.025166856115,0.600307611873351,0.222519682200315,2.69777309556351,0.00698050023149183,0.0248041714792066
"2210016F16Rik",1095.08424898782,-0.675015555783849,0.0960683842550792,-7.02640687691342,2.11919902840663e-12,5.05010961127176e-11
"2210409E12Rik",37.6877919068639,-2.33849899370605,0.513815421781258,-4.55124329588845,5.33298364277945e-06,4.34075206020199e-05
"2310011J03Rik",500.543600172378,-0.697952707313778,0.133537541588362,-5.22664038151353,1.72617771105177e-07,1.88293820659611e-06
"2310033P09Rik",713.070843862348,-0.606130547604109,0.113532127128165,-5.33884604240575,9.35400323181976e-08,1.0780709215597e-06
"2410003I16Rik",141.091771033385,-0.885722401064516,0.258137296242629,-3.43120662514418,0.000600902707901466,0.00295404737880115
"2410006H16Rik",8836.73820160793,0.990753296220389,0.0577886370656372,17.1444309215162,6.91727488755824e-66,5.32373970975778e-63
"2410021H03Rik",78.3627132206497,1.16713895570654,0.334290541485403,3.49139090361461,0.000480512658852242,0.00242961482949631
"2410137M14Rik",86.6150649341645,-1.14456222471796,0.322048086261142,-3.55401032810317,0.000379404313613984,0.00197941793545031
"2410141K09Rik",1295.10950250272,-0.697846969031576,0.0997400362087622,-6.99665846893155,2.62139245290085e-12,6.18533146843688e-11
"2610008E11Rik",118.142337999332,-0.797189269289072,0.282946197352448,-2.81745885524683,0.0048405316202869,0.0180618148805103
"2610035F20Rik",72.9910567901738,-2.46826810390978,0.370561093162937,-6.66089384301464,2.72167183729109e-11,5.51231391607299e-10
